holiday,workingday,weather,temp,feel_temp,humidity,windspeed,datetime,count
False,False,clear,9.84,14.395,0.81,0.0,2011-01-01 00:00:00,16
False,False,clear,9.02,13.635,0.8,0.0,2011-01-01 01:00:00,40
False,False,clear,9.02,13.635,0.8,0.0,2011-01-01 02:00:00,32
False,False,clear,9.84,14.395,0.75,0.0,2011-01-01 03:00:00,13
False,False,clear,9.84,14.395,0.75,0.0,2011-01-01 04:00:00,1
False,False,misty,9.84,12.88,0.75,6.0032,2011-01-01 05:00:00,1
False,False,clear,9.02,13.635,0.8,0.0,2011-01-01 06:00:00,2
False,False,clear,8.200000000000001,12.88,0.86,0.0,2011-01-01 07:00:00,3
False,False,clear,9.84,14.395,0.75,0.0,2011-01-01 08:00:00,8
False,False,clear,13.12,17.424999999999997,0.76,0.0,2011-01-01 09:00:00,14
False,False,clear,15.58,19.695,0.76,16.997899999999998,2011-01-01 10:00:00,36
False,False,clear,14.76,16.665,0.81,19.0012,2011-01-01 11:00:00,56
False,False,clear,17.22,21.21,0.77,19.0012,2011-01-01 12:00:00,84
False,False,misty,18.86,22.725,0.72,19.9995,2011-01-01 13:00:00,94
False,False,misty,18.86,22.725,0.72,19.0012,2011-01-01 14:00:00,106
False,False,misty,18.04,21.97,0.77,19.9995,2011-01-01 15:00:00,110
False,False,misty,17.22,21.21,0.82,19.9995,2011-01-01 16:00:00,93
False,False,misty,18.04,21.97,0.82,19.0012,2011-01-01 17:00:00,67
False,False,rain,17.22,21.21,0.88,16.997899999999998,2011-01-01 18:00:00,35
False,False,rain,17.22,21.21,0.88,16.997899999999998,2011-01-01 19:00:00,37
False,False,misty,16.400000000000002,20.455,0.87,16.997899999999998,2011-01-01 20:00:00,36
False,False,misty,16.400000000000002,20.455,0.87,12.998,2011-01-01 21:00:00,34
False,False,misty,16.400000000000002,20.455,0.94,15.0013,2011-01-01 22:00:00,28
False,False,misty,18.86,22.725,0.88,19.9995,2011-01-01 23:00:00,39
False,False,misty,18.86,22.725,0.88,19.9995,2011-01-02 00:00:00,17
False,False,misty,18.04,21.97,0.94,16.997899999999998,2011-01-02 01:00:00,17
False,False,misty,17.22,21.21,1.0,19.0012,2011-01-02 02:00:00,9
False,False,misty,18.86,22.725,0.94,12.998,2011-01-02 03:00:00,6
False,False,misty,18.86,22.725,0.94,12.998,2011-01-02 04:00:00,3
False,False,rain,17.22,21.21,0.77,19.9995,2011-01-02 06:00:00,2
False,False,misty,16.400000000000002,20.455,0.76,12.998,2011-01-02 07:00:00,1
False,False,rain,16.400000000000002,20.455,0.71,15.0013,2011-01-02 08:00:00,8
False,False,misty,15.58,19.695,0.76,15.0013,2011-01-02 09:00:00,20
False,False,misty,14.76,17.424999999999997,0.81,15.0013,2011-01-02 10:00:00,53
False,False,misty,14.76,16.665,0.71,16.997899999999998,2011-01-02 11:00:00,70
False,False,misty,14.76,16.665,0.66,19.9995,2011-01-02 12:00:00,93
False,False,misty,14.76,17.424999999999997,0.66,8.9981,2011-01-02 13:00:00,75
False,False,rain,14.76,17.424999999999997,0.76,12.998,2011-01-02 14:00:00,59
False,False,rain,13.94,16.665,0.81,11.0014,2011-01-02 15:00:00,74
False,False,rain,13.94,16.665,0.71,11.0014,2011-01-02 16:00:00,76
False,False,clear,13.94,16.665,0.57,12.998,2011-01-02 17:00:00,65
False,False,misty,14.76,16.665,0.46,22.0028,2011-01-02 18:00:00,53
False,False,clear,13.12,14.395,0.42,30.0026,2011-01-02 19:00:00,30
False,False,clear,12.3,13.635,0.39,23.9994,2011-01-02 20:00:00,22
False,False,clear,10.66,11.365,0.44,22.0028,2011-01-02 21:00:00,31
False,False,clear,9.84,10.605,0.44,19.9995,2011-01-02 22:00:00,9
False,False,clear,9.02,11.365,0.47,11.0014,2011-01-02 23:00:00,8
False,True,clear,9.02,9.85,0.44,23.9994,2011-01-03 00:00:00,5
False,True,clear,8.200000000000001,8.334999999999999,0.44,27.9993,2011-01-03 01:00:00,2
False,True,clear,6.5600000000000005,6.819999999999999,0.47,26.0027,2011-01-03 04:00:00,1
False,True,clear,6.5600000000000005,6.819999999999999,0.47,19.0012,2011-01-03 05:00:00,3
False,True,clear,5.74,5.305,0.5,26.0027,2011-01-03 06:00:00,30
False,True,clear,5.74,6.819999999999999,0.5,12.998,2011-01-03 07:00:00,64
False,True,clear,5.74,6.0600000000000005,0.5,19.0012,2011-01-03 08:00:00,154
False,True,clear,6.5600000000000005,6.819999999999999,0.43,26.0027,2011-01-03 09:00:00,88
False,True,clear,7.38,8.334999999999999,0.43,16.997899999999998,2011-01-03 10:00:00,44
False,True,clear,8.200000000000001,9.09,0.4,22.0028,2011-01-03 11:00:00,51
False,True,clear,9.02,10.605,0.35,19.9995,2011-01-03 12:00:00,61
False,True,clear,9.84,10.605,0.35,19.0012,2011-01-03 13:00:00,61
False,True,clear,10.66,12.12,0.3,19.0012,2011-01-03 14:00:00,77
False,True,clear,10.66,12.12,0.3,16.997899999999998,2011-01-03 15:00:00,72
False,True,clear,10.66,12.12,0.3,16.997899999999998,2011-01-03 16:00:00,76
False,True,clear,9.84,11.365,0.3,15.0013,2011-01-03 17:00:00,157
False,True,clear,9.84,12.88,0.32,7.0015,2011-01-03 18:00:00,157
False,True,clear,8.200000000000001,12.88,0.47,0.0,2011-01-03 19:00:00,110
False,True,clear,8.200000000000001,11.365,0.47,7.0015,2011-01-03 20:00:00,52
False,True,clear,7.38,9.85,0.64,8.9981,2011-01-03 21:00:00,52
False,True,clear,5.74,7.575,0.69,8.9981,2011-01-03 22:00:00,20
False,True,clear,7.38,10.605,0.55,7.0015,2011-01-03 23:00:00,12
False,True,clear,6.5600000000000005,9.09,0.55,7.0015,2011-01-04 00:00:00,5
False,True,clear,6.5600000000000005,9.09,0.59,7.0015,2011-01-04 01:00:00,2
False,True,clear,5.74,7.575,0.63,8.9981,2011-01-04 02:00:00,1
False,True,clear,5.74,9.09,0.63,6.0032,2011-01-04 04:00:00,2
False,True,clear,4.92,7.575,0.68,7.0015,2011-01-04 05:00:00,4
False,True,clear,4.92,7.575,0.74,7.0015,2011-01-04 06:00:00,36
False,True,clear,4.92,7.575,0.74,8.9981,2011-01-04 07:00:00,94
False,True,clear,5.74,7.575,0.69,11.0014,2011-01-04 08:00:00,179
False,True,clear,6.5600000000000005,7.575,0.64,15.0013,2011-01-04 09:00:00,100
False,True,misty,6.5600000000000005,6.819999999999999,0.69,22.0028,2011-01-04 10:00:00,42
False,True,clear,9.02,10.605,0.51,19.9995,2011-01-04 11:00:00,57
False,True,clear,9.02,11.365,0.51,11.0014,2011-01-04 12:00:00,78
False,True,clear,9.84,11.365,0.56,12.998,2011-01-04 13:00:00,97
False,True,clear,10.66,12.88,0.52,15.0013,2011-01-04 14:00:00,63
False,True,clear,11.48,13.635,0.52,16.997899999999998,2011-01-04 15:00:00,65
False,True,clear,12.3,14.395,0.49,16.997899999999998,2011-01-04 16:00:00,83
False,True,clear,11.48,13.635,0.48,15.0013,2011-01-04 17:00:00,212
False,True,clear,10.66,12.88,0.48,12.998,2011-01-04 18:00:00,182
False,True,clear,9.84,12.88,0.48,7.0015,2011-01-04 19:00:00,112
False,True,clear,9.84,12.88,0.48,7.0015,2011-01-04 20:00:00,54
False,True,clear,9.02,13.635,0.64,0.0,2011-01-04 21:00:00,48
False,True,clear,9.02,12.88,0.64,6.0032,2011-01-04 22:00:00,35
False,True,clear,8.200000000000001,11.365,0.69,6.0032,2011-01-04 23:00:00,11
False,True,clear,8.200000000000001,12.88,0.64,0.0,2011-01-05 00:00:00,6
False,True,clear,6.5600000000000005,9.85,0.74,6.0032,2011-01-05 01:00:00,6
False,True,clear,6.5600000000000005,9.85,0.74,6.0032,2011-01-05 02:00:00,2
False,True,clear,9.84,11.365,0.48,15.0013,2011-01-05 04:00:00,2
False,True,clear,9.02,11.365,0.47,11.0014,2011-01-05 05:00:00,3
False,True,clear,8.200000000000001,9.85,0.47,15.0013,2011-01-05 06:00:00,33
False,True,clear,7.38,9.09,0.43,12.998,2011-01-05 07:00:00,88
False,True,clear,8.200000000000001,9.09,0.4,19.9995,2011-01-05 08:00:00,195
False,True,clear,9.02,9.85,0.37,22.0028,2011-01-05 09:00:00,115
False,True,clear,9.02,9.85,0.37,22.0028,2011-01-05 10:00:00,57
False,True,clear,10.66,11.365,0.33,22.0028,2011-01-05 11:00:00,46
False,True,clear,10.66,11.365,0.33,22.0028,2011-01-05 12:00:00,79
False,True,clear,11.48,12.88,0.3,19.9995,2011-01-05 13:00:00,71
False,True,clear,12.3,14.395,0.28,12.998,2011-01-05 14:00:00,62
False,True,clear,12.3,14.395,0.28,12.998,2011-01-05 15:00:00,62
False,True,clear,12.3,15.909999999999998,0.28,6.0032,2011-01-05 16:00:00,89
False,True,clear,9.84,11.365,0.38,12.998,2011-01-05 17:00:00,190
False,True,clear,9.84,12.12,0.38,8.9981,2011-01-05 18:00:00,169
False,True,clear,9.84,12.88,0.38,7.0015,2011-01-05 19:00:00,132
False,True,clear,9.02,11.365,0.47,11.0014,2011-01-05 20:00:00,89
False,True,clear,8.200000000000001,9.85,0.51,12.998,2011-01-05 21:00:00,43
False,True,clear,7.38,9.85,0.55,8.9981,2011-01-05 22:00:00,42
False,True,clear,8.200000000000001,12.88,0.47,0.0,2011-01-05 23:00:00,19
False,True,clear,7.38,12.12,0.55,0.0,2011-01-06 00:00:00,11
False,True,clear,6.5600000000000005,11.365,0.64,0.0,2011-01-06 01:00:00,4
False,True,clear,6.5600000000000005,11.365,0.64,0.0,2011-01-06 02:00:00,2
False,True,misty,6.5600000000000005,9.85,0.64,6.0032,2011-01-06 04:00:00,1
False,True,misty,5.74,9.09,0.69,6.0032,2011-01-06 05:00:00,4
False,True,misty,5.74,8.334999999999999,0.63,7.0015,2011-01-06 06:00:00,36
False,True,misty,6.5600000000000005,11.365,0.59,0.0,2011-01-06 07:00:00,95
False,True,clear,6.5600000000000005,11.365,0.59,0.0,2011-01-06 08:00:00,219
False,True,misty,7.38,12.12,0.51,0.0,2011-01-06 09:00:00,122
False,True,clear,8.200000000000001,12.88,0.47,0.0,2011-01-06 10:00:00,45
False,True,clear,9.02,12.88,0.44,6.0032,2011-01-06 11:00:00,59
False,True,clear,10.66,14.395,0.35,0.0,2011-01-06 12:00:00,84
False,True,clear,10.66,13.635,0.35,7.0015,2011-01-06 13:00:00,67
False,True,clear,11.48,13.635,0.36,11.0014,2011-01-06 14:00:00,70
False,True,clear,11.48,13.635,0.36,0.0,2011-01-06 15:00:00,62
False,True,clear,10.66,12.88,0.38,11.0014,2011-01-06 16:00:00,86
False,True,clear,9.02,11.365,0.51,11.0014,2011-01-06 17:00:00,172
False,True,clear,9.02,11.365,0.51,8.9981,2011-01-06 18:00:00,163
False,True,clear,9.02,12.88,0.55,6.0032,2011-01-06 19:00:00,112
False,True,clear,8.200000000000001,10.605,0.51,11.0014,2011-01-06 20:00:00,69
False,True,misty,9.02,10.605,0.55,15.0013,2011-01-06 21:00:00,48
False,True,misty,9.02,10.605,0.51,19.0012,2011-01-06 22:00:00,52
False,True,misty,8.200000000000001,9.85,0.59,12.998,2011-01-06 23:00:00,23
False,True,misty,8.200000000000001,9.85,0.64,12.998,2011-01-07 00:00:00,17
False,True,misty,8.200000000000001,9.85,0.69,15.0013,2011-01-07 01:00:00,7
False,True,misty,8.200000000000001,9.85,0.69,15.0013,2011-01-07 02:00:00,1
